Generación	Mejor_Fitness	Fitness_Promedio
0	-734973475998.90246582	-532554512388357635022618886144.00000000
1	-734973475998.90246582	-13600408816514514226430083072.00000000
2	-10219506802.74080658	-19722890477952714850435072.00000000
3	-303.80398053	-47381887550841006587904.00000000
4	-243.73442344	-34808968495617276.00000000
5	-243.73442344	-1165869268448346.75000000
6	-243.73442344	-1279689719089.29199219
7	-229.16778054	-340650570.26332253
8	-221.89328763	-245.80639644
9	-198.61920885	-226.41130520
10	-192.07435489	-213.39201315
11	-180.61602212	-205.43821962
12	-180.27425364	-204.09352239
13	-179.78470700	-193.29753014
14	-179.78470700	-192.31761259
15	-179.78470700	-187.29303670
16	-179.78470700	-185.70180824
17	-179.78470700	-183.54181161
18	-179.78470700	-181.65661705
19	-177.99744963	-180.06335662
20	-177.99744963	-180.65941504
21	-177.99744963	-179.88284546
22	-177.99744963	-271.10510316
23	-177.99744963	-178.95595241
24	-177.99744963	-178.66032964
25	-177.99744963	-178.47273841
26	-177.99744963	-180.03151509
27	-177.68680099	-179.29608857
28	-177.41944438	-178.39574561
29	-177.41944438	-177.84288939
30	-177.41944438	-177.67379809
31	-175.35611050	-177.43527016
32	-173.79940811	-176.81443934
33	-173.79940811	-176.13871561
34	-173.79940811	-175.67705806
35	-173.79940811	-175.10576963
36	-169.85045873	-174.04843929
37	-169.85045873	-173.52363308
38	-163.98008526	-207.67559487
39	-163.98008526	-168.75675826
40	-161.87733803	-166.60816951
41	-161.41534800	-165.19807115
42	-161.41534800	-164.07917248
43	-161.41534800	-163.23833155
44	-157.39336431	-187.72771399
45	-156.39694652	-161.87403077
46	-153.90071645	-158.13542921
47	-153.90071645	-156.58591387
48	-152.88280738	-154.58684646
49	-152.88280738	-153.76625924
50	-152.88280738	-153.37651373
51	-152.74743792	-153.08331541
52	-152.62399479	-152.92003735
53	-152.40568340	-153.38288640
54	-152.40568340	-152.66081077
55	-152.25904205	-152.58126999
56	-152.14289580	-152.56496812
57	-152.14289580	-152.40300459
58	-152.14289580	-152.36732553
59	-151.39946712	-152.19932040
60	-151.39946712	-152.01167816
61	-151.39946712	-151.92834330
62	-151.39946712	-151.82716928
63	-151.15449108	-152.22429849
64	-150.62988108	-151.45541696
65	-150.62988108	-151.32920913
66	-150.24210687	-150.90346796
67	-150.24210687	-150.69624981
68	-150.29790888	-150.61461527
69	-150.29790888	-150.55957057
70	-150.17994942	-150.56707029
71	-150.17994942	-150.44814266
72	-150.17994942	-150.83274159
73	-150.17994942	-151.76281130
74	-150.17994942	-150.19991304
75	-150.17994942	-150.19204907
76	-150.17994942	-150.17994942
77	-150.15700840	-150.20373761
78	-150.11029364	-152.03859564
79	-150.11029364	-150.18630447
80	-150.11029364	-151.64608380
81	-150.11029364	-150.17343940
82	-150.11003610	-150.18075345
83	-150.11029364	-152.35091107
84	-150.11029364	-150.76525558
85	-150.11029364	-150.22501413
86	-150.11029364	-150.17487278
87	-150.11029364	-150.17777941
88	-150.11029364	-150.17313570
89	-150.11029364	-150.39284672
90	-150.11029364	-150.40987750
91	-150.11029364	-150.29203010
92	-150.11029364	-150.21325053
93	-150.11029364	-150.16997815
94	-150.11029364	-150.18008536
95	-150.11029364	-150.63993832
96	-150.11029364	-150.97771362
97	-150.11029364	-150.18067790
98	-150.11029364	-150.24152670
