Generación	Mejor_Fitness	Fitness_Promedio
0	-74123739585715.29687500	-152731945365436985207192289280.00000000
1	-74123739585715.29687500	-2282664049973255422080974848.00000000
2	-74123739585715.29687500	-5317527754883942318080.00000000
3	-290.61301542	-725846394202665517056.00000000
4	-290.61301542	-23979913919006.81250000
5	-262.18028613	-3104689724640.37597656
6	-260.14937427	-86939502428.26301575
7	-260.14937427	-20983904270.62646484
8	-260.14937427	-291.01322149
9	-254.78810736	-268.44422508
10	-240.53101534	-261.92465582
11	-239.02195114	-257.33398158
12	-239.02195114	-245.88536606
13	-232.56731975	-240.50359095
14	-232.56731975	-238.50545761
15	-232.56731975	-237.55327202
16	-232.56731975	-236.75097701
17	-227.42398523	-233.98681201
18	-227.42398523	-231.28798251
19	-227.42398523	-231.11612150
20	-227.42398523	-229.14261454
21	-227.42398523	-228.55751807
22	-227.14698376	-227.45779368
23	-226.64091192	-227.36762155
24	-226.64091192	-227.22372779
25	-226.64091192	-227.05786948
26	-226.64091192	-226.93291229
27	-226.64091192	-226.71414020
28	-224.82277835	-226.54072640
29	-224.76972355	-226.03133041
30	-222.59410474	-225.57088744
31	-222.59410474	-224.65400177
32	-222.59410474	-224.37406694
33	-214.79082874	-223.28167220
34	-214.79082874	-222.79352260
35	-214.78863943	-221.64425744
36	-214.78863943	-219.64324105
37	-214.50958718	-216.97373168
38	-214.50958718	-215.48862372
39	-214.50958718	-214.74826208
40	-213.18682871	-214.60957096
41	-212.32251777	-214.27075599
42	-212.32251777	-215.64587668
43	-212.32251777	-213.72601976
44	-212.32251777	-213.54095243
45	-212.32251777	-212.98006095
46	-211.15721874	-212.62468783
47	-211.15721874	-212.08945796
48	-211.00116623	-211.72426300
49	-211.00116623	-211.18924117
50	-211.00116623	-211.10243054
51	-211.00116623	-211.07338247
52	-211.00116623	-211.01156973
53	-210.54673122	-210.97087056
54	-210.54673122	-217.13867471
55	-210.54673122	-210.93081178
56	-210.54673122	-210.85507261
57	-210.45441602	-210.74934766
58	-210.45441602	-211.40180770
59	-210.45441602	-210.57008986
60	-210.45441602	-210.51852390
61	-210.45441602	-210.48491302
62	-210.45441602	-210.45749319
63	-210.18607241	-210.43652645
64	-210.18607241	-210.72918386
65	-210.18607241	-210.41863687
66	-210.18607241	-210.39499190
67	-210.18607241	-210.30235464
68	-210.18607241	-210.83476778
69	-210.18607241	-210.87692570
70	-210.03927960	-210.27616457
71	-208.37200424	-210.03190934
72	-203.99914471	-209.44228373
73	-203.99914471	-208.50022915
74	-203.99914471	-206.94711102
75	-203.85700156	-205.87049250
76	-203.85700156	-205.16294672
77	-202.54972189	-204.38147950
78	-202.54972189	-203.67399464
79	-192.07112665	-201.98315778
80	-191.25987330	-199.69371168
81	-190.47221181	-199.02383251
82	-190.47221181	-195.29369260
83	-190.47221181	-194.08857360
84	-189.95850180	-192.12348840
85	-189.40469455	-191.02066311
86	-189.40469455	-190.13643634
87	-189.40469455	-189.95291430
88	-189.40469455	-189.79211842
89	-189.40469455	-189.65824672
90	-189.40469455	-189.52902503
91	-189.40469455	-189.46438308
92	-189.40469455	-189.40469455
93	-189.40469455	-189.40469455
94	-189.40469455	-189.40915601
95	-189.40469455	-189.40915601
96	-189.40469455	-189.40469455
97	-189.40469455	-189.40469455
98	-189.40469455	-189.40469455
99	-189.09186736	-189.39426697
100	-189.09186736	-189.39426697
101	-189.09186736	-189.37077572
102	-189.09186736	-189.24828095
103	-189.09186736	-189.13357765
104	-188.99325426	-189.10943540
105	-188.99325426	-189.08858026
106	-188.99325426	-189.07871895
107	-188.99325426	-189.06885764
108	-188.99325426	-189.05242212
109	-188.99325426	-189.02941240
110	-187.90642551	-188.93394742
111	-187.90642551	-188.85491796
112	-187.90642551	-188.85163086
113	-187.90642551	-188.63755222
114	-185.90227799	-188.17209586
115	-185.90227799	-187.50469479
116	-183.86250516	-187.15202922
117	-183.86250516	-186.21048022
118	-183.08166689	-185.32315072
119	-183.08166689	-184.35155929
120	-183.08166689	-183.54592360
121	-169.30515107	-182.60265362
122	-169.30515107	-180.28189317
123	-169.17950602	-178.62146492
124	-169.17950602	-175.21303654
125	-168.65977046	-171.07526505
126	-168.65977046	-169.34982428
127	-168.65543731	-170.59839840
128	-168.65543731	-168.91889309
129	-168.19990734	-168.73959228
130	-166.57034955	-168.48370026
131	-166.57034955	-167.97972047
132	-166.57034955	-167.24377573
133	-166.57034955	-167.09717031
134	-166.57034955	-167.06252139
135	-165.29834172	-166.71321805
136	-165.29834172	-166.14458907
137	-159.82205776	-165.44240735
138	-159.82205776	-164.81333561
139	-159.82205776	-164.25774145
140	-159.82205776	-163.46494005
141	-158.90963695	-162.10430905
142	-158.52252753	-161.04517192
143	-158.52252753	-159.85428765
144	-151.22567768	-158.57452266
145	-151.22567768	-157.52511562
146	-150.68416833	-155.56768697
147	-150.68416833	-153.79805074
148	-150.16163642	-152.13749435
149	-150.16163642	-152.03862696
150	-150.16163642	-150.61242546
151	-150.16163642	-150.42736242
152	-150.16163642	-150.21262305
153	-150.16163642	-150.23451700
154	-150.16163642	-150.17338623
155	-150.16163642	-150.17094450
156	-150.16163642	-150.16224685
157	-150.16163642	-150.16346772
158	-150.16163642	-150.16346772
159	-150.16163642	-150.16713032
160	-150.16163642	-150.16407815
161	-150.16163642	-150.16224685
162	-150.16163642	-150.16346772
163	-150.16163642	-150.16285728
