Generación	Mejor_Fitness	Fitness_Promedio
0	-378.82997126	-62051145721317012133986172928.00000000
1	-352.49720874	-1462456926213824631172759552.00000000
2	-322.64727411	-16722126182731828208599040.00000000
3	-319.99550958	-50279756994719637504.00000000
4	-319.27259981	-2142337151776.38793945
5	-293.97904738	-970804.97134620
6	-260.49205318	-312.15975783
7	-245.72262046	-289.64998661
8	-210.36461883	-254.67797776
9	-190.76171625	-229.62321123
10	-165.95963267	-206.66784522
11	-165.37253306	-190.38479579
12	-165.37253306	-186.07169565
13	-165.37253306	-184.86089447
14	-162.93165370	-175.00941573
15	-162.93165370	-170.71272115
16	-162.93165370	-166.48076369
17	-158.74784991	-163.51533012
18	-156.03777808	-162.34085360
19	-156.03777808	-161.98199727
20	-155.15636779	-159.65888450
21	-154.52602832	-158.43071091
22	-151.52727565	-156.44011706
23	-151.52727565	-155.32304703
24	-151.44317884	-154.23105812
25	-151.44317884	-153.16346090
26	-151.44317884	-152.50282557
27	-151.44317884	-153.33034459
28	-150.91746356	-152.06399919
29	-150.79092277	-153.71592044
30	-150.79092277	-151.61456452
31	-150.79092277	-151.07601876
32	-150.79092277	-150.97241079
33	-150.66620938	-152.64900878
34	-150.66620938	-150.76096793
35	-150.66620938	-150.72628706
36	-150.18450501	-151.11662405
37	-150.18450501	-151.04230432
38	-150.18450501	-150.50042603
39	-150.18450501	-150.31265580
40	-150.18450501	-150.20056182
41	-150.18450501	-152.43158295
42	-150.18450501	-150.77528204
43	-150.18450501	-150.22871299
44	-150.18450501	-150.88267547
45	-150.18450501	-177.89334485
46	-150.15445025	-150.63560322
47	-150.15445025	-150.21940358
48	-150.15445025	-150.25647003
49	-150.15445025	-152.18393015
50	-150.15445025	-151.63871108
51	-150.15445025	-150.21315542
52	-150.15445025	-150.19090702
53	-150.15445025	-151.77333449
54	-150.15445025	-150.19128704
55	-150.11930906	-150.17448093
56	-150.11930906	-150.16531714
57	-150.11930906	-150.17418909
58	-150.11930906	-151.98354940
59	-150.11930906	-152.12199702
60	-150.11930906	-150.61737222
61	-150.11930906	-150.19278195
62	-150.11930906	-150.81686534
63	-150.10868345	-150.16878013
64	-150.10868345	-150.16807176
65	-150.10868345	-150.16822361
66	-150.10868345	-150.18444853
67	-150.10868345	-150.19293563
68	-150.10868345	-150.42903491
69	-150.10868345	-150.21651959
70	-150.10868345	-150.19365286
71	-150.10868345	-150.16124887
72	-150.10868345	-150.46130343
73	-150.10868345	-150.21314219
74	-150.10868345	-150.17135841
75	-150.10868345	-150.31582951
76	-150.10868345	-150.15695336
77	-150.10868345	-150.16883102
78	-150.10868345	-153.04879601
