Generación	Mejor_Fitness	Fitness_Promedio
0	-10332375576506941440.00000000	-3028252752497936143610806272.00000000
1	-65753541378791280.00000000	-1843221313985428406140928.00000000
2	-5683238533160.32128906	-410996250839059187892224.00000000
3	-5683238533160.18261719	-44852837893652464271360.00000000
4	-12558667509.28005981	-42925141453739892736.00000000
5	-12558667509.28005981	-102596188729554720.00000000
6	-252.79733013	-6926173985891359.00000000
7	-241.27236818	-9569588445098494.00000000
8	-226.08003965	-1565411964472776.25000000
9	-167.29649394	-420224165.46304005
10	-167.29649394	-1286124743595.89697266
11	-164.42951527	-1459048.79607318
12	-163.87143787	-176.98485935
13	-163.87143787	-171.46611004
14	-153.88998140	-168.07383994
15	-153.83985282	-169.71468846
16	-153.83985282	-168.25006818
17	-153.42126628	-158.61702848
18	-153.42126628	-161.09862585
19	-151.44404388	-160.74058108
20	-151.02080300	-159.91388710
21	-151.02080300	-157.45387082
22	-150.68011005	-156.02789526
23	-150.68011005	-152.75413304
24	-150.68011005	-153.81642886
25	-150.68011005	-151.95513970
26	-150.56215059	-152.59965229
27	-150.56215059	-150.99848080
28	-150.23265271	-150.91512405
29	-150.23265271	-150.66391747
30	-150.23265271	-152.74293304
31	-150.17994942	-151.62221545
32	-150.17994942	-150.49630134
33	-150.11955663	-150.36554454
34	-150.17994942	-151.45393729
35	-150.11222362	-154.39730754
36	-150.11222362	-150.24752546
37	-150.11222362	-150.18457034
38	-150.10832357	-198.41687711
39	-150.10832357	-150.24635977
40	-150.10832357	-150.99465323
41	-150.10832357	-151.41990784
42	-150.10832357	-150.79011183
43	-150.10832357	-151.31325836
44	-150.10832357	-150.38336339
45	-150.10832357	-150.32790542
46	-150.10832357	-151.06138704
47	-150.10832357	-150.25910363
48	-150.10832357	-151.96086905
49	-150.11836199	-151.30946432
50	-150.11836199	-151.69306171
51	-150.11836199	-152.70405948
52	-150.15633279	-150.58067191
53	-150.10863244	-150.28865167
54	-150.13219126	-151.02412083
55	-150.13219126	-150.28079274
56	-150.13219126	-150.19205129
57	-150.13219126	-150.20614930
58	-150.14802433	-150.83231797
59	-150.12805328	-150.74220746
60	-150.12465902	-150.25416542
61	-150.12465902	-150.32733688
62	-150.12465902	-150.57381895
63	-150.12465902	-150.62509332
64	-150.12465902	-153.08821246
65	-150.12465902	-152.06986541
66	-150.12465902	-150.63246046
67	-150.10869337	-150.90984016
68	-150.10869337	-151.06978003
69	-150.10869337	-150.31496936
70	-150.10869337	-150.88853867
71	-150.10869337	-150.39626124
72	-150.10869337	-150.71813336
73	-150.10869337	-150.85977206
74	-150.10839300	-151.16667790
75	-150.10839300	-151.41276659
76	-150.12228894	-150.32237800
77	-150.12228894	-150.22821726
78	-150.12228894	-151.44384561
79	-150.12228894	-150.17603024
80	-150.12228894	-150.25750888
81	-150.12228894	-152.31745009
82	-150.12228894	-150.66028342
83	-150.12228894	-150.49064558
84	-150.12228894	-153.53904245
85	-150.12228894	-150.37160224
86	-150.12228894	-150.21195997
87	-150.12228894	-150.36720079
88	-150.12228894	-150.64938278
89	-150.10969932	-150.52254557
90	-150.10969932	-151.00885639
91	-150.10898738	-150.84288390
92	-150.10898738	-150.16472134
93	-150.10898738	-152.03175815
94	-150.10898738	-150.23450636
95	-150.10898738	-150.53365513
96	-150.10898738	-150.54383625
97	-150.10898738	-150.73257969
98	-150.10898738	-150.46286690
99	-150.10898738	-150.63386780
100	-150.10898738	-150.36632314
101	-150.10898738	-150.44697981
102	-150.10898738	-150.32991570
103	-150.10898738	-152.09829584
104	-150.10898738	-151.89439407
105	-150.10898738	-151.85783214
106	-150.10898738	-158.25343483
