Generación	Mejor_Fitness	Fitness_Promedio
0	-26905505574115328.00000000	-102256028983683470302541512704.00000000
1	-26905505574115288.00000000	-12349539960071681428741423104.00000000
2	-2195915146647200.25000000	-3331033610169844737507328.00000000
3	-2195915146647176.00000000	-106659898844111163097088.00000000
4	-16679039813.08022499	-10790239443099940864.00000000
5	-1008340753.29266632	-17360106967592902.00000000
6	-246.38387686	-5069473588653812.00000000
7	-246.38387686	-4291266660638393.50000000
8	-212.68529273	-23580511358550.32812500
9	-212.68529273	-22892843403562.80468750
10	-206.12556409	-20380033175.65716171
11	-194.81882647	-220.77857720
12	-194.81882647	-213.88945812
13	-194.81882647	-206.79149756
14	-194.44177222	-200.41182856
15	-194.44177222	-198.96473914
16	-193.91274974	-196.64659065
17	-193.91274974	-196.02294363
18	-193.82955835	-195.78900080
19	-193.82955835	-198.64382486
20	-183.29165040	-196.58611140
21	-183.29165040	-192.98854572
22	-183.29165040	-190.66749820
23	-182.50374142	-186.85363367
24	-180.80200556	-184.91545739
25	-180.50840937	-193.31474467
26	-180.07040958	-185.39110875
27	-179.49711168	-187.12797227
28	-175.97418966	-181.88521553
29	-175.97418966	-185.86514171
30	-175.97418966	-182.91604896
31	-175.97418966	-180.43093604
32	-175.33350276	-179.04849571
33	-160.93855183	-175.36194838
34	-158.81593475	-174.77086459
35	-158.81593475	-172.93743073
36	-158.35253802	-165.70549890
37	-157.97679741	-161.07027338
38	-151.98944309	-157.38925947
39	-151.98944309	-160.23235215
40	-151.98944309	-158.43804616
41	-151.98944309	-158.77923466
42	-151.98944309	-156.15875890
43	-151.70451327	-153.60228522
44	-151.70451327	-154.44828048
45	-151.70451327	-154.28095029
46	-151.19500632	-153.93733095
47	-151.19500632	-153.59845115
48	-151.17172057	-628.92102095
49	-151.17172057	-152.22905811
50	-151.12093611	-151.56310179
51	-150.86507937	-151.65594364
52	-150.28918651	-151.37542247
53	-150.28918651	-151.26189518
54	-150.28918651	-151.08537677
55	-150.28918651	-150.86187508
56	-150.28918651	-150.73751879
57	-150.18450501	-151.10539631
58	-150.11685913	-152.42775207
59	-150.11685913	-151.94979819
60	-150.11685913	-150.45180419
61	-150.11685913	-151.48883033
62	-150.11685913	-150.84698623
63	-150.11685913	-150.79630121
64	-150.11685913	-163.78709257
65	-150.11685913	-150.28320832
66	-150.10919028	-150.27910176
67	-150.10919028	-153.63064892
68	-150.10919028	-151.71117216
69	-150.10919028	-153.51327293
70	-150.10919028	-152.66452171
71	-150.11685913	-150.47049740
72	-150.11685913	-151.56393418
73	-150.11651447	-151.05431398
74	-150.11651447	-150.34075963
75	-150.11651447	-151.09194078
76	-150.11651447	-150.90278882
77	-150.11651447	-151.63388470
78	-150.11651447	-150.14969380
79	-150.11651447	-150.29733132
80	-150.11651447	-150.97528855
81	-150.11651447	-150.55091588
82	-150.11651447	-150.28524041
83	-150.11651447	-150.22446696
84	-150.11651447	-150.61969225
85	-150.11398362	-150.80594940
86	-150.11398362	-150.35988990
87	-150.11398362	-150.23719597
88	-150.11398362	-150.17764030
89	-150.11651447	-150.12289492
90	-150.11651447	-150.13750369
91	-150.11651447	-155.57418449
92	-150.11651447	-150.70674820
93	-150.11651447	-150.40870001
94	-150.11651447	-150.32857522
95	-150.11651447	-151.41619529
96	-150.11651447	-153.59092146
97	-150.11651447	-152.18563646
98	-150.11651447	-150.17460775
99	-150.11651447	-150.65960204
100	-150.11141012	-150.21785385
101	-150.11141012	-150.23836088
102	-150.11141012	-151.55408682
103	-150.11141012	-150.52058893
104	-150.11141012	-151.12301251
105	-150.11141012	-155.15339413
106	-150.11141012	-150.19466037
107	-150.11141012	-152.03563862
108	-150.11141012	-150.21892099
109	-150.11141012	-150.18190930
110	-150.10976743	-153.22594172
111	-150.10976743	-152.02845803
112	-150.11141012	-153.62395661
113	-150.11141012	-151.52864805
114	-150.11141012	-151.54190601
115	-150.11141012	-152.61118435
116	-150.10965612	-150.81255255
117	-150.10965612	-150.63604555
118	-150.10965612	-150.59373744
119	-150.10965612	-151.47782405
120	-150.10965612	-150.16997742
121	-150.10965612	-150.11937585
122	-150.10965612	-150.11668545
123	-150.10965612	-153.33079367
124	-150.10965612	-150.27933151
125	-150.10965612	-150.16433442
126	-150.10965612	-151.18753751
127	-150.10965612	-150.18567029
128	-150.10965612	-150.74821185
129	-150.10965612	-150.11475168
130	-150.10965612	-150.13248986
131	-150.10850140	-150.18527647
132	-150.10965612	-150.48110907
133	-150.10965612	-150.64629307
134	-150.10965612	-150.22025026
135	-150.10965612	-150.11940975
136	-150.10965612	-150.47226724
137	-150.10965612	-150.62954159
138	-150.10965612	-150.23118491
139	-150.10965612	-151.85582559
140	-150.10965612	-150.21647241
141	-150.10965612	-152.21923708
142	-150.10965612	-151.72013379
143	-150.10965612	-170.14496410
144	-150.10965612	-150.17563353
145	-150.10965612	-152.03731405
146	-150.10965612	-151.43718516
147	-150.10965612	-151.47197815
