Generación	Mejor_Fitness	Fitness_Promedio
0	-36106228242170502971392.00000000	-71294647871809638446336573440.00000000
1	-36106228242170502971392.00000000	-7329936327257153783619125248.00000000
2	-36106228242170502971392.00000000	-65661748974015239759593472.00000000
3	-31192248418981468176384.00000000	-4157760207221572639916032.00000000
4	-1542983917451563761664.00000000	-31901711264346368114688.00000000
5	-1542983917451563761664.00000000	-28087898983152087990272.00000000
6	-1542983917451563761664.00000000	-20416031868696351735808.00000000
7	-1246365962806338781184.00000000	-9108640877094387056640.00000000
8	-1246365962806338781184.00000000	-2934172768402832621568.00000000
9	-743591029737405808640.00000000	-1324622916512375898112.00000000
10	-743591029737405808640.00000000	-1182344670937864732672.00000000
11	-743591029737405808640.00000000	-1065611135222091874304.00000000
12	-743591029737405808640.00000000	-1003710057156223434752.00000000
13	-743591029737405808640.00000000	-919056512641898381312.00000000
14	-743591029737405808640.00000000	-751123930219191992320.00000000
15	-176846629095739031552.00000000	-713000032110018560000.00000000
16	-176846629095739031552.00000000	-612967068130034712576.00000000
17	-176846629095739031552.00000000	-442710114195157549056.00000000
18	-176846629095739031552.00000000	-287064014090669228032.00000000
19	-176846629095739031552.00000000	-189005595031658397696.00000000
20	-6601949560659521.00000000	-161353938629536579584.00000000
21	-6601949560659521.00000000	-143358690917560565760.00000000
22	-6601949560659521.00000000	-113574132982397059072.00000000
23	-1545350950.59985971	-70750305748711153664.00000000
24	-1545350950.59985971	-11797947141448349696.00000000
25	-305.56437909	-2860845661085984.00000000
26	-304.47015895	-1100325853987228.50000000
27	-303.13817250	-440130588851177.68750000
28	-303.13817250	-87984993309493.23437500
29	-303.13817250	-206047056.75549456
30	-292.79838771	-1524.32720588
31	-292.79838771	-298.77638990
32	-271.68036551	-290.00667432
33	-259.48141760	-283.76224860
34	-259.48141760	-276.53644100
35	-259.48141760	-271.49562135
36	-259.48141760	-263.66330135
37	-238.66338197	-259.92323897
38	-226.91780872	-251.96784194
39	-226.91780872	-242.73788540
40	-226.91780872	-236.91909814
41	-225.79012900	-233.72569168
42	-223.50570715	-229.31916981
43	-223.50570715	-226.62098387
44	-223.50570715	-225.77548663
45	-215.88980296	-224.01922515
46	-215.88980296	-222.39649899
47	-215.88980296	-220.43654614
48	-215.88980296	-218.86442258
49	-215.88980296	-216.69257682
50	-211.76451451	-215.61478373
51	-211.76451451	-214.84838322
52	-211.76451451	-213.50566010
53	-211.76451451	-212.39949429
54	-206.17437082	-211.44328823
55	-206.17437082	-210.86512212
56	-206.17437082	-208.87316773
57	-206.17437082	-207.06264212
58	-203.06382274	-206.19257295
59	-203.06382274	-204.93015159
60	-203.06382274	-204.10067210
61	-201.69541488	-203.47020870
62	-201.44589535	-202.88017447
63	-200.71975114	-201.96174682
64	-200.71975114	-201.49925082
65	-200.71975114	-201.22048191
66	-200.71975114	-201.01020882
67	-198.50023183	-200.62019280
68	-198.50023183	-200.20186330
69	-198.50023183	-199.83194342
70	-198.50023183	-199.43406010
71	-184.81266290	-197.95764712
72	-184.81266290	-195.30646575
73	-184.81266290	-193.02520426
74	-184.81266290	-188.46268128
75	-184.43049488	-185.69968963
76	-184.43049488	-185.67454174
77	-184.18657000	-184.70262060
78	-184.16655060	-184.42136706
79	-184.16655060	-184.27915642
80	-184.16655060	-184.18085954
81	-184.16655060	-184.16655060
82	-184.16655060	-184.16655060
83	-184.16655060	-184.16655060
84	-183.69618160	-184.15087164
85	-183.69618160	-184.13519267
86	-168.68988719	-181.47735393
87	-168.68988719	-176.34982406
88	-168.68988719	-173.23881241
89	-168.38319015	-169.17987377
90	-168.33917671	-168.61245609
91	-168.21482680	-168.57798408
92	-168.19474071	-168.39581152
93	-168.19474071	-168.27269965
94	-168.19474071	-168.22190550
95	-168.19474071	-168.20813144
96	-168.19474071	-168.20612283
97	-168.19474071	-168.20143607
98	-167.53418368	-168.07915654
99	-167.53418368	-167.94088426
100	-167.53418368	-167.70577767
101	-167.53418368	-167.65665149
102	-167.53418368	-167.55914764
103	-167.53418368	-167.54020951
104	-167.53418368	-167.53552276
105	-167.53418368	-167.53485322
106	-167.53418368	-167.53418368
107	-167.53418368	-167.53418368
108	-167.53418368	-167.53418368
109	-167.53418368	-167.53485322
110	-167.53418368	-167.53418368
111	-166.55526002	-167.44860022
112	-166.55526002	-167.30576816
113	-166.55526002	-167.07735264
114	-166.55526002	-166.71932128
115	-166.55526002	-166.58856034
116	-166.55526002	-166.55526002
117	-166.55526002	-166.55549780
118	-166.37780114	-166.53159883
119	-166.37780114	-166.49610706
120	-166.37780114	-166.43103880
121	-166.37780114	-166.38963173
122	-166.37780114	-166.37780114
123	-166.37780114	-166.37780114
124	-166.37780114	-166.37780114
125	-166.37780114	-166.37780114
126	-166.37780114	-166.37780114
127	-166.37780114	-166.37780114
128	-166.33896920	-166.37650674
129	-166.33896920	-166.37262355
130	-166.33896920	-166.37003475
131	-166.19726624	-166.35152710
132	-166.19726624	-166.32357259
133	-166.19726624	-166.26598309
134	-166.19726624	-166.22088340
135	-166.19726624	-166.20198968
136	-166.19726624	-166.19726624
137	-166.19726624	-166.19726624
138	-166.19726624	-166.19726624
139	-166.19726624	-166.19726624
140	-166.19726624	-166.19726624
141	-166.19726624	-166.19726624
142	-166.19726624	-166.19726624
143	-166.19726624	-168.40423829
144	-166.19726624	-167.39266323
145	-166.19726624	-167.00894116
146	-166.19726624	-166.19726624
