Generación	Mejor_Fitness	Fitness_Promedio
0	-443125361329586240.00000000	-476455267421948466862166638592.00000000
1	-443125361329586240.00000000	-6074264471751424162744238080.00000000
2	-151873711148836928.00000000	-21778120730106299968126976.00000000
3	-3184.63458325	-68243928224168176254976.00000000
4	-3184.63458325	-7584174732336387063808.00000000
5	-297.05536488	-31155055803313217536.00000000
6	-293.38045502	-45562116843788336.00000000
7	-246.15168012	-35437202768097612.00000000
8	-246.15168012	-25312285194170252.00000000
9	-246.15168012	-2697276.28558707
10	-223.75596850	-1798186.44451846
11	-223.21566173	-899206.37466784
12	-181.93179283	-230.47776988
13	-175.56028655	-213.48206836
14	-175.56028655	-197.23641630
15	-153.09573043	-177.11711258
16	-153.09573043	-169.14943710
17	-153.06003669	-163.61152905
18	-152.58780186	-160.08847345
19	-152.58780186	-156.61027388
20	-152.58780186	-153.48301800
21	-152.44570926	-153.52814883
22	-152.37476932	-153.22214396
23	-152.37476932	-154.60057041
24	-152.14123065	-152.69342494
25	-151.99913804	-152.47011107
26	-151.43862325	-153.08030646
27	-151.99913804	-152.30341803
28	-151.26707237	-156.49471660
29	-151.26707237	-152.02617412
30	-150.78636718	-151.74965659
31	-150.78636718	-151.56737673
32	-150.41747880	-151.40828979
33	-150.41747880	-151.23960183
34	-150.41747880	-151.08226166
35	-150.41747880	-151.45928060
36	-150.29790888	-150.90088203
37	-150.29790888	-150.75338516
38	-150.29790888	-152.17913955
39	-150.17994942	-150.83946310
40	-150.17994942	-150.27688703
41	-150.17994942	-150.26074356
42	-150.17994942	-150.27637862
43	-150.11131707	-150.45291937
44	-150.11131707	-150.23004509
45	-150.11131707	-150.19188844
46	-150.11131707	-150.23872930
47	-150.11131707	-151.28371358
48	-150.11131707	-150.31625056
49	-150.11131707	-150.23901535
50	-150.11131707	-150.14998202
51	-150.11131707	-150.16366386
52	-150.11131707	-151.38987744
53	-150.11131707	-150.15695644
54	-150.11131707	-150.14012465
55	-150.11131707	-150.89448731
56	-150.11131707	-150.35706505
57	-150.11131707	-152.05686016
58	-150.11131707	-150.11357361
