Generación	Mejor_Fitness	Fitness_Promedio
0	-82649504109765765103616.00000000	-175115944790487637335075717120.00000000
1	-62746360196734973378560.00000000	-10204775592562361485295091712.00000000
2	-1670551592245962.75000000	-3434373685969342550970990592.00000000
3	-426748351642278.25000000	-6442635842589884495691776.00000000
4	-426748351642278.25000000	-85113711016867367223296.00000000
5	-207.82962101	-112709170281944530944.00000000
6	-207.80251306	-5046815261331099.00000000
7	-207.73620086	-3195140316014702.50000000
8	-194.91004106	-26701384661317.23437500
9	-194.91004106	-4429396219661.92968750
10	-190.17243869	-1079.21984260
11	-182.04060408	-204.79623082
12	-182.04060408	-202.55816957
13	-182.04060408	-202.72266613
14	-182.04060408	-1575907882.12339282
15	-180.94335258	-193.34643192
16	-180.31535596	-195.53448953
17	-179.33121359	-191.89078322
18	-179.33121359	-185.17363717
19	-179.33121359	-183.27285430
20	-178.62294023	-181.73267492
21	-178.26832528	-180.46220695
22	-177.88578610	-179.12112622
23	-173.74570669	-178.31925425
24	-173.74570669	-178.34751420
25	-173.57917240	-176.39337725
26	-170.61108841	-176.35361924
27	-170.61108841	-173.64235064
28	-166.67178810	-172.53757061
29	-158.81751916	-188.59357203
30	-156.97916088	-166.82314381
31	-153.32708413	-162.78106127
32	-153.32708413	-158.92218412
33	-153.32708413	-156.54774433
34	-153.15185910	-156.20074944
35	-152.41344711	-154.94613037
36	-152.41344711	-155.62472328
37	-151.93174274	-156.14073623
38	-151.84510355	-153.56160385
39	-151.84510355	-152.94545356
40	-151.85088447	-152.17876707
41	-151.85088447	-152.46220205
42	-151.65378515	-151.92273978
43	-151.56543237	-151.82588495
44	-151.56543237	-152.13019670
45	-151.56543237	-151.65841803
46	-150.52265437	-151.91754934
47	-150.52217678	-151.70482973
48	-150.52217678	-151.02546406
49	-150.52217678	-151.48697950
50	-150.41288934	-150.71021126
51	-150.32893814	-150.56241593
52	-150.11962062	-150.50720156
53	-150.11962062	-150.46107604
54	-150.11962062	-151.14790076
55	-150.11962062	-152.75296443
56	-150.11949193	-152.47097393
57	-150.11949193	-150.44832364
58	-150.11949193	-150.69344768
59	-150.17994942	-150.29531235
60	-150.11562388	-150.45555547
61	-150.11562388	-150.19308454
62	-150.10835984	-150.24302155
63	-150.10835984	-150.83910401
64	-150.10835984	-151.06251153
65	-150.10835984	-150.61041472
66	-150.10835984	-150.94077511
67	-150.10835984	-150.21468100
68	-150.10835984	-150.93743572
69	-150.10835984	-150.33397353
70	-150.10835984	-150.33928797
71	-150.10835984	-150.39634115
72	-150.10835984	-150.48275486
73	-150.10835984	-150.27415751
74	-150.10835984	-150.25212976
75	-150.10835984	-150.24573965
76	-150.10835984	-150.23063411
77	-150.10835984	-150.21801275
