Generación	Mejor_Fitness	Fitness_Promedio
0	-12153735760552445952.00000000	-646750538641424284447020154880.00000000
1	-12153735760552445952.00000000	-5876228680760180613954142208.00000000
2	-4270423671135247.00000000	-67104880960473573359616.00000000
3	-2685877935261099.50000000	-14198452976574321917952.00000000
4	-1036719391412.23413086	-2511528190383984476160.00000000
5	-1036719391412.23413086	-5716282501392281600.00000000
6	-336.27361925	-12395239183669198.00000000
7	-335.53137250	-334211508396025.62500000
8	-312.13538441	-1049676249123.97082520
9	-312.13538441	-139775927104.60717773
10	-272.97078429	-1869645.92025981
11	-255.22641757	-316.75251867
12	-255.22641757	-302.13704643
13	-255.22641757	-280.43235460
14	-213.18326282	-256.78735927
15	-179.20645108	-243.29256751
16	-179.20645108	-224.71438371
17	-179.20645108	-206.81630096
18	-163.05955415	-190.66900583
19	-163.05955415	-179.77393369
20	-163.05955415	-171.46174409
21	-157.33056514	-167.12580735
22	-157.33056514	-167.16266691
23	-157.19343629	-163.31187104
24	-156.55675164	-160.49092801
25	-150.91746356	-157.53626663
26	-150.91746356	-157.03007954
27	-150.91746356	-154.59320386
28	-150.91746356	-153.09186512
29	-150.91746356	-151.28696011
30	-150.78636718	-151.26940116
31	-150.30246447	-151.24125848
32	-150.30246447	-150.81666891
33	-150.30246447	-150.66953869
34	-150.16102278	-151.59777062
35	-150.16102278	-150.48703633
36	-150.16102278	-150.31998234
37	-150.16102278	-150.21564754
38	-150.16102278	-150.35994941
39	-150.16102278	-150.17357011
40	-150.12635556	-150.66303335
41	-150.12635556	-150.18586952
42	-150.12635556	-150.58595487
43	-150.12635556	-150.20173282
44	-150.12635556	-150.15112010
45	-150.12635556	-150.14474487
46	-150.12635556	-150.14180283
47	-150.12635556	-150.18238411
48	-150.12635556	-150.14716222
49	-150.12635556	-150.15189072
50	-150.12635556	-150.16153824
51	-150.12635556	-150.14064726
52	-150.12635556	-150.14243372
53	-150.12005217	-150.13686422
54	-150.12005217	-150.13465753
55	-150.12005217	-150.14152461
56	-150.12005217	-150.15361711
57	-150.12005217	-150.14327517
58	-150.10843222	-150.16299949
59	-150.10843222	-150.26859716
60	-150.10843222	-150.12890107
61	-150.10843222	-150.13260458
62	-150.10843222	-150.13528632
63	-150.10843222	-150.13553488
64	-150.10843222	-150.13183235
65	-150.10843222	-150.15171915
66	-150.10843222	-150.12982747
67	-150.10843222	-150.12589423
68	-150.10843222	-150.38719195
69	-150.10843222	-150.18084266
70	-150.10843222	-150.13941592
71	-150.10843222	-150.14802503
72	-150.10843222	-150.19003975
73	-150.10843222	-150.15565295
