Generación	Mejor_Fitness	Fitness_Promedio
0	-947925825284.36755371	-167493394116413230232983568384.00000000
1	-31696979.60834211	-28223329374560835136108101632.00000000
2	-31696979.60834211	-370791556755787808768.00000000
3	-447.82814051	-711640449948091520.00000000
4	-363.32195563	-168980229670453056.00000000
5	-363.32195563	-123148414137.83528137
6	-363.32195563	-31811303130.97618866
7	-333.12088478	-380.19294662
8	-301.50216376	-360.15116238
9	-301.50216376	-346.26793348
10	-301.50216376	-332.14013801
11	-296.66930189	-314.37875223
12	-277.42978211	-302.43539393
13	-271.25230043	-291.60468680
14	-271.25230043	-284.48456171
15	-236.97110540	-274.76391918
16	-227.03038211	-264.70920444
17	-214.88002574	-245.28639362
18	-214.88002574	-236.37980370
19	-214.88002574	-226.65141128
20	-198.80444929	-220.16112694
21	-198.80444929	-210.16144987
22	-197.41311763	-205.40936939
23	-197.31005272	-200.35988686
24	-197.31005272	-198.66100943
25	-197.31005272	-198.11194400
26	-194.10107425	-197.53714413
27	-194.10107425	-196.90008273
28	-194.10107425	-196.38812868
29	-194.10107425	-196.90411634
30	-194.10107425	-196.14009011
31	-194.10107425	-197.29538682
32	-194.10107425	-204.95507032
33	-194.10107425	-195.37787630
34	-183.74259484	-194.13034486
35	-183.74259484	-192.73586809
36	-183.71326409	-191.40734478
37	-183.71326409	-187.57464177
38	-183.71326409	-185.73114791
39	-183.71326409	-185.44269583
40	-183.71326409	-185.04494097
41	-182.57557702	-184.23981006
42	-182.57557702	-183.46642401
43	-181.89096741	-183.01584849
44	-181.89096741	-182.67909231
45	-181.89096741	-182.31463084
46	-181.72763551	-182.19983303
47	-181.72763551	-182.09532063
48	-181.56718196	-182.11358533
49	-181.56718196	-183.37088181
50	-181.56718196	-181.77506005
51	-181.34602620	-181.64476163
52	-181.24652144	-181.47935472
53	-179.54810555	-188.73497960
54	-179.54810555	-181.08743820
55	-179.43231065	-180.80251668
56	-179.43231065	-180.58386864
57	-179.43231065	-183.70817402
58	-179.43231065	-179.60292462
59	-179.27530370	-179.45828960
60	-179.27530370	-180.63196414
61	-178.96914161	-182.15549794
62	-178.03462553	-179.15729405
63	-178.03462553	-179.18769468
64	-177.87962702	-178.92152257
65	-177.82752606	-178.69469812
66	-177.26728720	-178.62197802
67	-176.84395005	-195.71122103
68	-176.84395005	-177.99991222
69	-176.59175449	-177.62301561
70	-176.59175449	-178.42672054
71	-174.35676678	-176.75276207
72	-174.35676678	-176.65156851
73	-173.47911650	-175.93804514
74	-173.41918212	-175.66776752
75	-172.19747359	-175.11097663
76	-170.81598924	-174.05993284
77	-170.24149507	-173.36165027
78	-170.24149507	-174.03442257
79	-170.24149507	-171.90609684
80	-170.24149507	-171.62718382
81	-170.24149507	-171.90056812
82	-167.75108233	-170.19142740
83	-167.75108233	-169.58298308
84	-167.75108233	-168.87672026
85	-165.06505493	-168.16014289
86	-164.92246155	-168.37081481
87	-164.92246155	-168.26491389
88	-164.84807897	-167.27471415
89	-164.58675878	-167.13110880
90	-164.58675878	-166.76495192
91	-164.58675878	-165.77841106
92	-164.46240176	-165.23820781
93	-164.44665148	-166.26602080
94	-163.93322053	-164.55954088
95	-163.93322053	-164.38453214
96	-163.93322053	-164.31193786
97	-163.80972293	-164.05094496
98	-163.57254012	-163.85318260
99	-163.57254012	-163.74783794
100	-162.90602503	-163.60711686
101	-159.94648848	-163.38551005
102	-159.94648848	-162.77370184
103	-156.42401984	-162.04200338
104	-156.42401984	-161.47355377
105	-152.95023326	-159.20167982
106	-152.95023326	-157.92312577
107	-151.96161927	-158.63277017
108	-151.96161927	-156.55030513
109	-151.96161927	-155.66398708
110	-151.96161927	-154.62309789
111	-151.96161927	-153.80343585
112	-151.96161927	-153.16969865
113	-150.90319592	-152.05579521
114	-150.90319592	-151.83489467
115	-150.90319592	-151.83947375
116	-151.22567768	-152.09865808
117	-151.22567768	-151.81707723
118	-151.22567768	-151.81534648
119	-151.22567768	-151.97272811
120	-151.22567768	-151.56924142
121	-151.22567768	-151.39128961
122	-151.22567768	-151.30629514
123	-151.22567768	-151.26598641
124	-150.94825720	-151.19793563
125	-150.36630212	-151.11721307
126	-150.10935016	-150.98917874
127	-150.10935016	-150.93305391
128	-150.10935016	-150.52248056
129	-150.10935016	-150.59771334
130	-150.10935016	-151.54205599
131	-150.10935016	-150.22872263
132	-150.10935016	-150.21138368
133	-150.10935016	-150.17448436
134	-150.10935016	-150.17949469
135	-150.10847753	-150.25311087
136	-150.10847753	-150.17171674
137	-150.10847753	-150.19490608
138	-150.10847753	-150.17690226
139	-150.10847753	-150.17819530
140	-150.10847753	-150.17943651
141	-150.10847753	-150.16454423
142	-150.10847753	-150.16884396
143	-150.10847753	-150.16362360
144	-150.10847753	-150.64353951
145	-150.10847753	-150.18090779
146	-150.10847753	-150.16985967
147	-150.10847753	-150.17178651
148	-150.17994942	-150.43120101
149	-150.17994942	-150.18010127
150	-150.17994942	-150.18010127
151	-150.17994942	-150.17994942
152	-150.17994942	-150.17994942
153	-150.17994942	-150.17994942
154	-150.17994942	-150.17994942
155	-150.17994942	-150.17994942
156	-150.10855414	-150.17533935
157	-150.10855414	-150.17334560
158	-150.10855414	-150.17334785
159	-150.10855414	-150.17534159
160	-150.17994942	-150.52542711
161	-150.17490424	-150.30689196
162	-150.17490424	-150.19629756
163	-150.17490424	-150.20444722
164	-150.17490424	-150.17961308
165	-150.17490424	-150.17877221
166	-150.17490424	-150.17958044
167	-150.14054507	-150.18011159
168	-150.14054507	-150.17732246
169	-150.14054507	-150.16681464
170	-150.14054507	-150.17469551
171	-150.14054507	-150.17064826
172	-150.14054507	-150.17469551
173	-150.14054507	-150.17863594
174	-150.17994942	-150.17994942
175	-150.17994942	-150.17994942
176	-150.17994942	-153.32779374
177	-150.17994942	-150.19007874
178	-150.11035124	-150.17530954
179	-150.11035124	-150.17298960
180	-150.11035124	-150.17731342
181	-150.11035124	-150.20634242
182	-150.11035124	-150.17762948
183	-150.11035124	-150.58281837
184	-150.11035124	-150.16138991
185	-150.11035124	-150.16199242
186	-150.11035124	-150.62817846
187	-150.11035124	-150.16761517
188	-150.11035124	-150.17897541
189	-150.11035124	-150.16834972
190	-150.11035124	-151.61229047
191	-150.11035124	-150.19431350
192	-150.11035124	-150.20784721
193	-150.11035124	-150.17762948
