Generación	Mejor_Fitness	Fitness_Promedio
0	-122153434048472.34375000	-15108885549636449960206532608.00000000
1	-426.81178255	-103161627960006143213830144.00000000
2	-342.25396857	-2783807019085481377792.00000000
3	-322.58889535	-5962468158630494.00000000
4	-305.79117490	-2090158560083.94653320
5	-305.79117490	-1820.09094901
6	-275.78856759	-331.12384640
7	-255.34492312	-301.78938880
8	-255.34492312	-282.28883315
9	-213.32869389	-267.11352845
10	-213.32869389	-248.76279377
11	-185.20299847	-225.89691069
12	-185.20299847	-213.44962458
13	-177.87333494	-207.20819823
14	-177.87333494	-202.94204178
15	-177.87333494	-192.81703511
16	-177.87333494	-184.91392490
17	-177.87333494	-183.62373292
18	-177.79859410	-181.31470812
19	-167.15874982	-176.65504549
20	-167.15874982	-176.11769379
21	-167.15874982	-175.05596321
22	-167.15874982	-174.41476575
23	-167.15874982	-175.32083696
24	-152.45995044	-167.45499391
25	-150.78641874	-161.00030812
26	-150.78641874	-155.96845417
27	-150.21719949	-154.64072416
28	-150.21719949	-151.46237402
29	-150.17994942	-150.43937872
30	-150.17994942	-150.37634050
31	-150.17994942	-150.32171200
32	-150.17994942	-150.19456075
33	-150.17994942	-150.18864110
34	-150.17994942	-150.25154455
35	-150.16811815	-150.18124963
36	-150.16811815	-150.17921921
37	-150.11767470	-150.17443418
38	-150.11767470	-150.17122313
39	-150.11767470	-150.17137499
40	-150.11767470	-150.16905121
41	-150.11557252	-150.39571810
42	-150.11557252	-150.15713877
43	-150.11557252	-150.16350639
44	-150.11557252	-150.55301211
45	-150.11557252	-150.16148452
46	-150.11557252	-150.15753199
47	-150.11557252	-150.16114525
48	-150.11337377	-151.54095984
49	-150.11337377	-150.15037205
50	-150.11337377	-150.14586039
51	-150.11337377	-150.17398508
52	-150.11337377	-150.16005002
53	-150.11337377	-150.18755140
54	-150.11337377	-150.17011356
55	-150.11337377	-150.15997673
56	-150.11337377	-150.17329186
57	-150.11337377	-150.20857923
58	-150.11337377	-150.20130710
59	-150.11337377	-150.16452036
60	-150.11337377	-150.18695347
61	-150.11337377	-150.16688353
62	-150.11337377	-150.25192516
63	-150.11337377	-150.18868966
