Generación	Mejor_Fitness	Fitness_Promedio
0	-5647858029147.57910156	-917392321717437025835024384.00000000
1	-5647858029147.57910156	-423751238386151907882172416.00000000
2	-5647858029147.57910156	-25786064512027686864945152.00000000
3	-262.23601205	-619878395362143788597248.00000000
4	-262.23601205	-293789982675226722304.00000000
5	-262.07411722	-8191582987849440256.00000000
6	-247.23227241	-9379427507348799488.00000000
7	-232.51316893	-14483261417191934.00000000
8	-227.08768986	-25526213764.94456100
9	-225.67254703	-248.16388019
10	-217.74155183	-239.49472835
11	-199.40543398	-221.33848728
12	-192.13014226	-215.11503447
13	-184.25417939	-207.84148730
14	-184.25417939	-198.96349659
15	-181.34778796	-193.65780871
16	-179.53307325	-193.18408470
17	-179.53307325	-186.09448358
18	-179.50420209	-181.40877702
19	-172.04583181	-180.06221032
20	-172.04758624	-179.55440330
21	-171.36360775	-178.47395191
22	-171.36360775	-177.18579394
23	-170.21703733	-176.68542103
24	-156.01034007	-173.90892860
25	-156.01034007	-179.66289937
26	-154.39636388	-165.18240948
27	-154.39636388	-159.97226686
28	-154.39636388	-157.44785976
29	-153.64703128	-156.20304337
30	-152.90118883	-155.54645571
31	-152.90118883	-155.93959341
32	-152.90118883	-155.55584383
33	-152.11995194	-154.70523552
34	-151.83597571	-153.57499195
35	-150.76688232	-152.78003184
36	-150.76688232	-152.34077806
37	-150.76688232	-153.22007074
38	-150.16046456	-153.12089928
39	-150.16046456	-151.30446316
40	-150.16046456	-150.60673709
41	-150.16046456	-151.66931259
42	-150.16046456	-150.36615545
43	-150.16046456	-150.38892952
44	-150.12252136	-150.23551924
45	-150.12252136	-150.19085220
46	-150.12252136	-150.18494670
47	-150.10900570	-150.15447382
48	-150.10900570	-150.22099243
49	-150.10900570	-150.19556855
50	-150.10900570	-154.35723903
51	-150.10900570	-156.49873475
52	-150.10900570	-151.33379483
53	-150.10900570	-150.95587961
54	-150.10900570	-150.60695989
55	-150.10900570	-152.34557135
56	-150.10900570	-150.16194504
57	-150.10900570	-150.16631463
58	-150.10900570	-150.19082352
59	-150.10900570	-150.24892987
60	-150.10900570	-150.24840456
61	-150.10900570	-150.18241669
62	-150.10900570	-150.17711340
