Generación	Mejor_Fitness	Fitness_Promedio
0	-384949255.39742732	-99549207717869430767347564544.00000000
1	-384949255.39742732	-9164640784604091219693273088.00000000
2	-384949255.39742732	-663728428921413148082176.00000000
3	-384949255.39742732	-99005941147306901372928.00000000
4	-384949255.39742732	-85025298521193493561344.00000000
5	-384949255.39742732	-7107624847048014848.00000000
6	-384949206.44181615	-710957390504.91955566
7	-384949206.44181615	-826474840.72854614
8	-99201459.43280403	-513074587.56292492
9	-52501830.25935607	-334211294.09666067
10	-321.36578343	-265383168.89353952
11	-263.32666316	-173230423.68104321
12	-262.50646604	-87490380.37057303
13	-262.50646604	-61827118.50515365
14	-262.50646604	-24246.86686995
15	-262.60490732	-283.19200136
16	-262.60490732	-267.69714244
17	-220.11523527	-258.35594011
18	-200.31493884	-251.48367035
19	-200.31493884	-248.79527369
20	-200.31493884	-224.24719568
21	-200.31493884	-207.08466616
22	-200.31493884	-202.36749455
23	-199.85198919	-200.25321222
24	-199.38726183	-200.16038526
25	-199.38726183	-200.09848087
26	-199.38726183	-199.82633645
27	-199.38726183	-199.63669526
28	-198.67526839	-199.51158559
29	-198.67526839	-199.53117353
30	-198.67526839	-199.24351018
31	-198.67526839	-198.98895261
32	-198.67526839	-198.70829412
33	-198.67526839	-198.69900151
34	-194.15981417	-198.24745608
35	-194.15981417	-198.01989079
36	-194.02327706	-197.42310350
37	-194.02327706	-197.13049000
38	-194.02327706	-195.61979002
39	-194.02327706	-194.98085067
40	-193.82596741	-194.41115806
41	-194.02327706	-195.00819592
42	-194.02327706	-194.18767224
43	-194.02327706	-194.04555678
44	-190.61326688	-193.55300262
45	-182.34575433	-192.09249907
46	-182.34575433	-190.92318569
47	-182.34575433	-189.17360633
48	-183.09706642	-188.50397504
49	-183.09706642	-191.17643561
50	-183.09706642	-185.92956275
51	-183.09706642	-184.30352020
52	-182.96640248	-183.39587777
53	-182.96640248	-183.19657280
54	-182.62105689	-182.95997362
55	-178.88073548	-182.28597413
56	-178.88073548	-182.67663534
57	-177.63943197	-181.76043668
58	-177.63943197	-181.55271647
59	-177.63943197	-181.31305398
60	-177.63943197	-180.74182829
61	-177.63943197	-180.65591139
62	-177.63943197	-179.36502056
63	-176.10032708	-178.01529356
64	-176.10032708	-177.33198913
65	-176.04390432	-176.73160739
66	-175.68161448	-176.27003596
67	-175.24025937	-176.07220486
68	-175.24025937	-175.85402252
69	-175.24025937	-175.66642880
70	-174.58450550	-175.30857328
71	-174.58450550	-175.09934183
72	-174.44774403	-174.81905186
73	-168.70242821	-174.23569862
74	-168.70242821	-173.94132518
75	-168.70242821	-173.34400002
76	-162.76258395	-171.53454678
77	-162.22669773	-168.89500713
78	-162.22669773	-168.15420403
79	-162.22669773	-165.35062968
80	-162.22669773	-163.74227179
81	-162.22669773	-162.65215943
82	-162.22669773	-162.31810228
83	-162.22669773	-162.29026288
84	-161.96189045	-162.20729344
85	-158.55433302	-161.89924905
86	-158.55433302	-161.58787598
87	-158.55433302	-161.72968831
88	-158.55433302	-160.22574972
89	-158.55433302	-159.35166572
90	-153.42287780	-158.80775477
91	-153.42287780	-157.85361897
92	-153.42287780	-157.54816166
93	-153.42287780	-156.66363273
94	-153.42287780	-155.71006605
95	-153.42287780	-155.53343149
96	-153.42287780	-154.80663901
97	-153.42287780	-154.38491031
98	-153.35456830	-154.87706282
99	-153.35456830	-154.41985321
100	-152.74246549	-154.00850657
101	-152.39081201	-153.69861580
102	-151.22567768	-152.95625149
103	-151.22567768	-152.45554682
104	-151.22567768	-152.20030178
105	-151.22567768	-151.94254354
106	-151.22567768	-151.41986674
107	-151.22567768	-151.31466462
108	-151.22567768	-151.26451549
109	-150.22535737	-151.19233367
110	-150.10993909	-151.04741580
111	-150.10993909	-150.84559345
112	-150.10993909	-150.61457892
113	-150.18450501	-150.42082952
114	-150.18450501	-150.21921077
115	-150.18450501	-150.45594377
116	-150.18450501	-150.18450501
117	-150.18450501	-150.18450501
118	-150.18450501	-150.18450501
119	-150.18450501	-150.18450501
120	-150.18450501	-150.20056182
121	-150.18450501	-150.20056182
122	-150.18450501	-150.18450501
123	-150.18450501	-150.18450501
124	-150.18450501	-150.18450501
125	-150.18450501	-150.18450501
126	-150.18450501	-280.12871393
127	-150.18450501	-150.18450501
128	-150.18450501	-150.30008512
