Generación	Mejor_Fitness	Fitness_Promedio
0	-363.66005374	-184836715628176084433845092352.00000000
1	-335.18753027	-4151574040773749590093463552.00000000
2	-272.55046974	-65806229783637203422806016.00000000
3	-232.52626295	-369562622181392835936256.00000000
4	-232.52626295	-3489337344098993438720.00000000
5	-232.52626295	-356602820436724544.00000000
6	-203.82949306	-18938272769397112.00000000
7	-199.91403347	-238422195604.57614136
8	-185.44955140	-193135597915.33184814
9	-185.44955140	-11618035.59486572
10	-167.14725587	-232.38185405
11	-167.14725587	-177845504635360.56250000
12	-166.44555394	-208.08076776
13	-166.44555394	-230.82100076
14	-159.75258094	-210.29091191
15	-154.77910425	-194.77327926
16	-154.77910425	-184.73455487
17	-154.77910425	-180.15135117
18	-154.77910425	-178.04487161
19	-151.46320706	-172.56937189
20	-150.29802605	-175.66284284
21	-150.27254866	-166.32185664
22	-150.27254866	-163.61350248
23	-150.17994942	-165.68121022
24	-150.11713979	-160.06732444
25	-150.11713979	-156.62753615
26	-150.11713979	-155.96999282
27	-150.10828675	-152.84708206
28	-150.10828675	-151.88893579
29	-150.10828675	-151.57735749
30	-150.10828675	-156.02473140
31	-150.10828675	-150.45061956
32	-150.10828675	-150.51065016
33	-150.10828675	-150.32715969
34	-150.10828675	-150.35591845
35	-150.10828675	-150.44301166
36	-150.10828675	-150.36995561
37	-150.10828675	-150.56001810
38	-150.10828675	-158.36038655
39	-150.10828675	-150.57281339
40	-150.10828675	-150.46586533
41	-150.10828675	-150.68949744
42	-150.10828675	-150.42209246
