Generación	Mejor_Fitness	Fitness_Promedio
0	-336.13799507	-101567720307538039095894736896.00000000
1	-336.13799507	-8252269317655248238224080896.00000000
2	-315.84811010	-116782686444616261922979840.00000000
3	-268.82533819	-24827164220507561559851008.00000000
4	-256.44056500	-6466322708198247628800.00000000
5	-235.67266367	-130675890175702401024.00000000
6	-217.58742639	-11880526875181611008.00000000
7	-210.09765029	-5391419473072016.00000000
8	-210.09765029	-455707243139363584.00000000
9	-200.55298517	-2726142985677541.00000000
10	-187.15542334	-51443547005979.56250000
11	-173.27599981	-22046326907803256.00000000
12	-163.89524601	-13850683.82891220
13	-159.69784322	-30925.56856963
14	-158.09991790	-17543482925895.45312500
15	-157.84791442	-6535753716641.47753906
16	-152.40169187	-657.76789865
17	-152.40169187	-3656373449.14872408
18	-152.40169187	-197.38269552
19	-152.40169187	-175.89091266
20	-151.74021305	-171.58400020
21	-151.74021305	-173.90904168
22	-150.96671393	-260915258.30277601
23	-150.83764179	-162.06270686
24	-150.52217678	-160.19880768
25	-150.52217678	-158.59536364
26	-150.41747880	-156.00948857
27	-150.41747880	-155.53728666
28	-150.17994942	-156.92155074
29	-150.13010376	-679528012413.52807617
30	-150.13010376	-153.47973398
31	-150.11970599	-155.64288747
32	-150.10877109	-156.72629724
33	-150.10877109	-11623927853.41825485
34	-150.10877109	-154.15850917
35	-150.10877109	-151.42508381
36	-150.10877109	-151.21797684
37	-150.10873585	-156.12819232
38	-150.10877109	-152.82365617
39	-150.10857385	-535268.90471135
40	-150.10857385	-151.61510697
41	-150.10834489	-151.28377106
42	-150.10828630	-156.24193086
43	-150.10828630	-151.97124648
44	-150.10828630	-1652506688.40044188
45	-150.10828630	-151.50838766
46	-150.10828630	-157.94763356
47	-150.10828630	-1105.00725105
48	-150.10828630	-151.69621868
49	-150.10828630	-150.99833607
50	-150.10828630	-152.21878375
51	-150.10828630	-153.03945775
52	-150.10828630	-151.20202292
53	-150.10828630	-151.65327948
54	-150.10828630	-151.85109901
55	-150.10828630	-151.47841380
56	-150.10828630	-151.81527540
57	-150.10828630	-152.02506894
