Generación	Mejor_Fitness	Fitness_Promedio
0	-345.17958304	-123198151519019682371974725632.00000000
1	-343.21098667	-5860383687491960398921334784.00000000
2	-343.21098667	-188281082580371855963586560.00000000
3	-250.41677637	-3478564570531623065354240.00000000
4	-232.48310286	-17923554897031325548544.00000000
5	-204.49290453	-71999634777058476032.00000000
6	-203.76445678	-15217359790879268.00000000
7	-202.18576094	-532973167766.60449219
8	-197.00080204	-1508802506.62693644
9	-193.72181657	-280357434.80559742
10	-187.30942618	-241.25385801
11	-185.64096265	-220.55436145
12	-185.64096265	-208.01140095
13	-185.64096265	-201.50081690
14	-184.06398450	-198.37692232
15	-184.06398450	-195.75183824
16	-179.11180678	-193.62302283
17	-177.49435930	-195.76947748
18	-177.49435930	-191.53407242
19	-173.76734972	-191.11569119
20	-177.49435930	-190.90856036
21	-177.49435930	-187.67066333
22	-177.49435930	-186.77564550
23	-177.49435930	-186.25124970
24	-171.23644555	-184.70929356
25	-171.23644555	-183.32875533
26	-159.09259602	-181.86985528
27	-159.09259602	-181.23585453
28	-159.09259602	-179.61950721
29	-159.09259602	-178.26643601
30	-159.09259602	-177.14860805
31	-159.09259602	-175.70907795
32	-159.09259602	-175.82549338
33	-156.56436279	-171.92679837
34	-156.56436279	-170.25639363
35	-156.52451543	-167.57825020
36	-156.50335200	-164.94290496
37	-155.51414407	-162.48109334
38	-155.51414407	-161.18573040
39	-153.27635543	-159.49371403
40	-152.75993649	-158.67200903
41	-152.75993649	-158.28787364
42	-152.75993649	-158.04651605
43	-152.75993649	-157.53951241
44	-152.47464335	-157.29435394
45	-151.85078677	-156.72681941
46	-151.85078677	-156.05726242
47	-151.71876382	-155.74786034
48	-151.71876382	-154.76787183
49	-151.71876382	-153.78270700
50	-151.22567768	-152.99679840
51	-151.22567768	-152.60558515
52	-151.22567768	-152.31802480
53	-150.92925917	-152.08792847
54	-150.92925917	-151.91776789
55	-150.92925917	-151.71627793
56	-150.44474732	-151.53558204
57	-150.18450501	-151.42901859
58	-150.18450501	-151.29245286
59	-150.18450501	-151.14061217
60	-150.18450501	-151.01172367
61	-150.18450501	-150.89663459
62	-150.17994942	-150.74378326
63	-150.17994942	-150.60089105
64	-150.14993042	-150.41826061
65	-150.14993042	-150.29071191
66	-150.14993042	-150.20776079
67	-150.14993042	-150.18811678
68	-150.14243590	-150.18169825
69	-150.14243590	-150.18085555
70	-150.14243590	-150.18117421
71	-150.13208239	-150.20723348
72	-150.10843556	-150.18504185
73	-150.10843556	-150.18035413
74	-150.10843556	-150.19959710
75	-150.10843556	-150.17889063
76	-150.10843556	-150.18142275
77	-150.10843556	-150.17986807
78	-150.10843556	-150.17794703
79	-150.10843556	-150.17648184
80	-150.10843556	-150.17513578
81	-150.10843556	-150.18878796
82	-150.10843556	-150.17683803
83	-150.10843556	-150.17852890
84	-150.10843556	-150.28222113
85	-150.10843556	-150.18241708
86	-150.10843556	-150.20820397
87	-150.10843556	-150.17859214
