Generación	Mejor_Fitness	Fitness_Promedio
0	-292.49294555	-154006041111107172922078265344.00000000
1	-254.89696637	-6128115133637659058793086976.00000000
2	-229.38435570	-486405456423093538897526784.00000000
3	-220.69310753	-803156734078010532036608.00000000
4	-220.69310753	-5287086201595888664576.00000000
5	-220.69310753	-5521340527868701696.00000000
6	-201.15102469	-214875564245225760.00000000
7	-201.15102469	-74815374711532.95312500
8	-176.65622577	-28920883791636.69140625
9	-176.65622577	-1210245242.31141782
10	-177.05532990	-1668004.96081248
11	-172.00876005	-5466879543731.32714844
12	-172.00876005	-214.53309343
13	-166.69701509	-11944.23157362
14	-166.69701509	-1976348279.33851504
15	-160.92029629	-196.38210541
16	-160.92029629	-190.13613782
17	-153.71331557	-276.53329866
18	-153.71331557	-40273.26860044
19	-153.71331557	-177.88811812
20	-153.71331557	-175.09055085
21	-152.49792600	-172.23378895
22	-150.96440241	-167.83528814
23	-150.62553006	-165.23966712
24	-150.29790888	-169.85864572
25	-150.29790888	-161.95396398
26	-150.29790888	-159.51978790
27	-150.17994942	-163.11315931
28	-150.11206618	-156.57656484
29	-150.11206618	-155.44683535
30	-150.11206618	-153.84201501
31	-150.11206618	-152.96298700
32	-150.11037814	-151.99471806
33	-150.10828775	-152.63119160
34	-150.10828775	-152.21697074
35	-150.10828775	-151.07895741
36	-150.10828775	-153.46760387
37	-150.10828775	-150.79725791
38	-150.10828775	-150.51961126
39	-150.10828775	-150.63248745
40	-150.10828775	-150.45992608
41	-150.10828775	-152.56243180
42	-150.10828775	-150.91345331
43	-150.10828713	-150.74582918
44	-150.10828713	-150.38147423
45	-150.10828713	-150.48723415
46	-150.10828713	-152.15129625
47	-150.10843032	-150.31229968
48	-150.10843032	-150.46552102
49	-150.10843032	-150.90734533
50	-150.10849793	-150.62639152
51	-150.10849793	-154.61857184
52	-150.10849793	-150.90846099
53	-150.10830817	-150.64733139
54	-150.10830817	-150.33886337
55	-150.10830817	-153.10905965
56	-150.10830817	-151.25174178
57	-150.10830817	-151.45444898
58	-150.10830817	-150.44535909
59	-150.10830817	-151.13302031
60	-150.10830817	-150.98225233
61	-150.10832137	-150.45257133
62	-150.10832137	-151.29801052
63	-150.11110276	-150.66691562
64	-150.10829429	-155.61252339
65	-150.10829429	-159.96017223
66	-150.10829429	-150.40212968
67	-150.10829429	-150.57605572
68	-150.10829429	-150.53664774
69	-150.10829429	-150.63125214
70	-150.10829429	-150.32265597
71	-150.10829429	-194.13244660
72	-150.10829429	-152.37544097
73	-150.10829429	-151.53832568
74	-150.10829429	-150.39548532
75	-150.10829429	-151.65624675
76	-150.10829429	-150.40247387
77	-150.10829429	-150.62754478
78	-150.10828674	-150.36681340
79	-150.10828674	-150.72980468
