Generación	Mejor_Fitness	Fitness_Promedio
0	-373.94027064	-106360997332297980864278560768.00000000
1	-369.43697563	-4547613969367077981402431488.00000000
2	-232.08913413	-53195644470910118520684544.00000000
3	-227.79753429	-1443176211846122713382912.00000000
4	-216.78187102	-41362675841778048827392.00000000
5	-211.37380636	-24552689647655100416.00000000
6	-194.10757246	-58438270714660408.00000000
7	-194.10757246	-37927431218971.87500000
8	-183.51280654	-5461342782.11706352
9	-183.51280654	-3966676.08498615
10	-160.05878724	-5074775374.74041367
11	-160.05878724	-215.98141085
12	-159.93809618	-196.41583173
13	-155.38963721	-186.57541876
14	-152.00899569	-5709732399.94253349
15	-152.00899569	-177.50399586
16	-150.68905636	-171.57272598
17	-150.68905636	-171.07666604
18	-150.35292655	-178.05460682
19	-150.35292655	-163.95366604
20	-150.21798433	-160.93959256
21	-150.21798433	-159.37996857
22	-150.21798433	-156.80431026
23	-150.17994942	-156.25419055
24	-150.17994942	-154.66586993
25	-150.17056736	-153.00848617
26	-150.12980800	-151.89617171
27	-150.10989227	-151.76255577
28	-150.10869187	-151.20004178
29	-150.10869187	-153.14703078
30	-150.10869187	-150.88966277
31	-150.10828704	-151.21146526
32	-150.10828704	-150.48792863
33	-150.10828704	-151.38508143
34	-150.10828704	-150.64097993
35	-150.10828704	-150.82427837
36	-150.10828704	-150.36285580
37	-150.10828704	-150.56200775
38	-150.10828704	-1844463015.98327756
39	-150.10828704	-151.06578801
40	-150.10828704	-153.84690013
41	-150.10828704	-150.58886423
42	-150.10828704	-152.32188495
43	-150.10828704	-150.77114826
44	-150.10828704	-151.07821874
45	-150.10828704	-9205211.61773320
46	-150.10828704	-151.07735933
