Generación	Mejor_Fitness	Fitness_Promedio
0	-325.71787892	-168790101737383800421530730496.00000000
1	-325.71787892	-9103513735353726013295034368.00000000
2	-268.67827118	-128452602475412879770124288.00000000
3	-231.32198369	-5511201219487122679922688.00000000
4	-231.32198369	-3947565004951982178304.00000000
5	-231.32198369	-12317719203173795840.00000000
6	-213.31705480	-19601447306349158400.00000000
7	-199.91626389	-1285198562838732.25000000
8	-199.91626389	-1425426853789.78100586
9	-176.62093148	-160826340479424.59375000
10	-170.35417915	-213623890484.72271729
11	-170.35417915	-238.60590249
12	-170.35417915	-218.63164699
13	-170.35417915	-209.50354916
14	-162.16239935	-1873190767.85311651
15	-155.57463258	-166432632.52390850
16	-154.19396720	-5935.10776690
17	-154.19396720	-198.03060919
18	-150.33083700	-192.79495943
19	-150.33083700	-7820264831.82368279
20	-150.33083700	-177.97459099
21	-150.33083700	-176.89444874
22	-150.17994942	-176.70871301
23	-150.17994942	-168.20311119
24	-150.17994942	-113375990662.40765381
25	-150.17994942	-157.77596042
26	-150.17994942	-157.45664178
27	-150.11720290	-159.05325037
28	-150.11135515	-154.09563716
29	-150.11135515	-153.90581027
30	-150.11135515	-157.75250846
31	-150.11135515	-151.99706100
32	-150.11135515	-151.93558791
33	-150.11135515	-151.11024768
34	-150.10833783	-152.79386852
35	-150.10833783	-4198903857380.88476562
36	-150.10833783	-150.98980368
37	-150.10833783	-154.41244239
38	-150.10833783	-151.27459351
39	-150.10833783	-155.30491872
40	-150.10833783	-276.71262098
41	-150.10833783	-152.39345881
42	-150.10833783	-155.17601702
43	-150.10833783	-152.06108392
44	-150.10833783	-152.35588019
45	-150.10833783	-151.23705346
46	-150.10833783	-157.07707456
47	-150.10833783	-151.53711355
48	-150.10833783	-151.80732202
49	-150.10833783	-176.32129820
