Generación	Mejor_Fitness	Fitness_Promedio
0	-445.53833377	-104184398003054710302550523904.00000000
1	-321.73692149	-13788788548217078578057052160.00000000
2	-305.01896908	-14100608384901898106306560.00000000
3	-296.71387760	-1076085353859422110089216.00000000
4	-232.52465836	-1016499326123958861824.00000000
5	-207.03607873	-555487995763454080.00000000
6	-207.03607873	-2367530520281133.00000000
7	-207.03607873	-94817737068936.71875000
8	-207.03607873	-111181775.34723622
9	-204.83594214	-33023292577.67176819
10	-203.98827875	-154407173.13048133
11	-199.23907132	-251.19572811
12	-199.23907132	-273.19887815
13	-182.24088331	-237.72899674
14	-182.24088331	-239.76648699
15	-182.24088331	-241.77852453
16	-180.10991665	-245.01944647
17	-183.81626568	-221.83220143
18	-181.86014032	-212.80022136
19	-169.95501123	-205.07672385
20	-169.95501123	-201.34441257
21	-169.95501123	-199.44390090
22	-169.95501123	-197.31030893
23	-169.95501123	-193.87735958
24	-165.26277777	-205.75030183
25	-165.26277777	-190.16409865
26	-165.26277777	-189.40482547
27	-165.84272691	-187.40524768
28	-165.84272691	-187.48179167
29	-165.84272691	-186.58771447
30	-165.84272691	-187.23099462
31	-165.84272691	-185.51890331
32	-165.84272691	-184.57931691
33	-165.84272691	-184.26288083
34	-165.84272691	-183.43081802
35	-165.84272691	-182.73965145
36	-165.84272691	-181.16032143
37	-165.84272691	-180.24889239
38	-152.00369363	-179.47563660
39	-152.00369363	-178.43780678
40	-155.21154314	-182.15917610
41	-155.21154314	-180.23791860
42	-155.21154314	-179.21569901
43	-155.21154314	-176.33603724
44	-154.64531119	-175.16358363
45	-152.29871295	-172.29886858
46	-153.96245093	-171.61024863
47	-154.64531119	-173.48812543
48	-154.64531119	-169.36194298
49	-153.86041677	-169.42576249
50	-152.56726195	-167.28386591
51	-152.56726195	-166.03231543
52	-152.56726195	-165.63499082
53	-152.27039452	-164.93513580
54	-152.27039452	-165.09922572
55	-152.56726195	-164.29934036
56	-152.56726195	-164.04587381
57	-152.56726195	-162.85656347
58	-152.56726195	-161.96087378
59	-152.56726195	-160.93611204
60	-152.56726195	-159.69695444
61	-151.71228632	-158.08945168
62	-151.71184507	-156.60548799
63	-151.71184507	-155.39534431
64	-151.71184507	-154.84513495
65	-150.85727274	-154.10442981
66	-150.23440910	-153.25407393
67	-150.17994942	-152.97941187
68	-150.17994942	-152.62337504
69	-150.17994942	-152.49147101
70	-150.16580432	-152.18023754
71	-150.16580432	-151.90422372
72	-150.16580432	-151.78196442
73	-150.16580432	-151.64276081
74	-150.16580432	-151.54928331
75	-150.11122168	-151.38383691
76	-150.11122168	-151.11619026
77	-150.11122168	-150.79607069
78	-150.11122168	-150.64810716
79	-150.12877881	-150.46328310
80	-150.10833175	-150.28356688
81	-150.10833175	-150.26770847
82	-150.10833175	-150.19018005
83	-150.10828796	-150.27860211
84	-150.10828796	-150.85625086
85	-150.10828796	-150.18119242
86	-150.10828796	-150.20795312
87	-150.10828796	-150.20537014
88	-150.10828796	-150.18426378
89	-150.10828796	-150.17872026
90	-150.10828796	-150.22213180
91	-150.10828796	-150.18546659
92	-150.10828796	-150.18003944
93	-150.10828796	-150.24016846
94	-150.10828796	-150.24575340
95	-150.10828654	-150.17993822
96	-150.10828654	-150.21673791
97	-150.10828654	-150.17885429
98	-150.10828654	-150.19461290
