Generación	Mejor_Fitness	Fitness_Promedio
0	-372.49650579	-162025264019822314702457798656.00000000
1	-372.49650579	-3865426728307915705051774976.00000000
2	-320.12793076	-276827263807813869855834112.00000000
3	-269.98831495	-756886890984388943675392.00000000
4	-269.98831495	-1655496708762629832704.00000000
5	-240.54407579	-10791822455593799680.00000000
6	-229.63424916	-41772948140481576.00000000
7	-219.44436381	-1907251455391993.75000000
8	-202.99331656	-127571020318940.62500000
9	-194.24884842	-127641853355.14656067
10	-183.78116128	-10529491145.11456108
11	-182.42534403	-6632983207437.92382812
12	-176.90232208	-5267038963624494.00000000
13	-168.03682647	-214.16766964
14	-152.82410620	-213.86591402
15	-152.82410620	-195.40925714
16	-152.82410620	-212.31220897
17	-152.82410620	-260952785.44869950
18	-151.80296175	-185.51686252
19	-151.80296175	-3952784110.31162834
20	-151.28894857	-35835200.52877151
21	-150.92371646	-168.93455381
22	-150.75970615	-229.14798662
23	-150.18450501	-164.04631804
24	-150.18450501	-245175791068.85580444
25	-150.12286302	-156.73277279
26	-150.12286302	-162.28030374
27	-150.10841719	-154.96617889
28	-150.10841719	-153.33354490
29	-150.10841719	-153.41753050
30	-150.10841719	-152.59237729
31	-150.10841719	-151.62972574
32	-150.10828718	-152.42662059
33	-150.10828718	-11091140.26061581
34	-150.10828718	-151.91163073
35	-150.10828718	-151.53231298
36	-150.10828718	-153.61395956
37	-150.10828718	-157.29462468
38	-150.10828718	-156.59853289
39	-150.10828718	-154.30168126
40	-150.10828718	-152.44002107
41	-150.10828718	-151.38971389
42	-150.10828718	-151.62360416
43	-150.10828718	-150.88968841
44	-150.10828718	-151.15914197
45	-150.10828718	-150.98219412
46	-150.10828718	-154.32365767
47	-150.10828718	-151.43353493
