Generación	Mejor_Fitness	Fitness_Promedio
0	-307.71676643	-158525214511639021943477239808.00000000
1	-297.75738417	-5184550280467243412049887232.00000000
2	-297.75738417	-109986142008585485631356928.00000000
3	-291.40971997	-505141664387541902557184.00000000
4	-244.78727184	-222869994084317102080.00000000
5	-244.78727184	-152889523917572992.00000000
6	-193.32742472	-9662815212491.47265625
7	-193.32742472	-4631196026.44540405
8	-193.32742472	-124711.54747382
9	-193.32742472	-73951999779.34391785
10	-172.65518686	-509800796329.58453369
11	-172.65518686	-9588052975834.01562500
12	-172.65518686	-222.86220753
13	-172.65518686	-351.58729143
14	-167.30392211	-203.98845354
15	-163.66487693	-199.37711524
16	-161.86789929	-189.02492699
17	-161.48221918	-182.39939374
18	-161.08196615	-176.28722965
19	-161.08196615	-173.30319112
20	-160.31978683	-169.59425466
21	-156.14542425	-167.35517612
22	-156.14542425	-166.00263807
23	-156.14542425	-164.80840984
24	-155.90327999	-163.83577177
25	-154.32406341	-163.38554429
26	-154.32406341	-162.27918739
27	-154.32406341	-161.45103190
28	-151.67125621	-160.70436058
29	-151.67125621	-160.02386036
30	-151.67125621	-159.02345305
31	-151.65507651	-158.16978845
32	-151.13406905	-156.48602273
33	-151.13406905	-155.30681185
34	-151.13406905	-154.33565341
35	-151.13406905	-153.57918133
36	-151.01283835	-153.34526270
37	-150.54080006	-153.05157596
38	-150.22647259	-152.46122495
39	-150.15962080	-152.12151326
40	-150.15603588	-151.69620038
41	-150.15603588	-151.48981294
42	-150.15603588	-151.36682844
43	-150.12024982	-151.00149563
44	-150.11006073	-150.69638411
45	-150.11006073	-150.75999627
46	-150.11006073	-150.41713578
47	-150.10831623	-150.33781642
48	-150.10830514	-150.23784995
49	-150.10830514	-150.23782852
50	-150.10830514	-150.32467879
51	-150.10830514	-150.37019551
52	-150.10830514	-150.21348233
53	-150.10829984	-150.27452471
54	-150.10829984	-150.24860257
55	-150.10829984	-150.17857217
56	-150.10829984	-152.49021060
57	-150.10828673	-151.17881576
58	-150.10828673	-150.19866427
59	-150.10828673	-150.45744852
60	-150.10828673	-150.15556648
61	-150.10828673	-171.65019706
62	-150.10828673	-150.45181795
63	-150.10828673	-150.49985484
64	-150.10828673	-150.17269912
65	-150.10828673	-150.19507374
66	-150.10828673	-150.41410122
67	-150.10828673	-150.93863660
68	-150.10828673	-150.27370103
69	-150.10828673	-150.21800256
70	-150.10828673	-150.27236966
71	-150.10828673	-150.26814661
72	-150.10828673	-150.28592240
