Generación	Mejor_Fitness	Fitness_Promedio
0	-353.81568202	-236373877454778102560636010496.00000000
1	-353.81568202	-11392494697652472796416049152.00000000
2	-307.44360168	-170799735847232136468758528.00000000
3	-266.60655217	-2502859311493077656403968.00000000
4	-216.62756860	-1062510513689227165696.00000000
5	-215.75667427	-20090881326129025024.00000000
6	-206.71667566	-105848169334667216.00000000
7	-193.84176176	-817465617081606.25000000
8	-164.45795317	-7141946042353447.00000000
9	-163.18596411	-25260266698.48450851
10	-162.49888855	-14232130538682.01757812
11	-157.58966636	-1744965408131.91333008
12	-154.87688416	-1728534318717.95922852
13	-154.11804402	-193.51591970
14	-153.95911102	-184.11992415
15	-153.84885727	-195.37787312
16	-152.73884697	-167.12361875
17	-152.28873009	-163.82661444
18	-151.78566611	-167.61567809
19	-151.78566611	-156.46795987
20	-151.78566611	-156.38466484
21	-151.64441377	-164.24122451
22	-151.30412516	-154.24183016
23	-151.30412516	-1249708.72163193
24	-151.22622239	-159.05762355
25	-150.97154310	-153.23985299
26	-150.85955215	-156.67867102
27	-150.61980463	-152.45720902
28	-150.56899882	-154.08223299
29	-150.18450501	-151.98157233
30	-150.18450501	-152.62398888
31	-150.18450501	-155.15338041
32	-150.11015496	-153.78205132
33	-150.11015496	-151.39214949
34	-150.11015496	-164.74499333
35	-150.11015496	-5545644.47198510
36	-150.11015496	-154.21733972
37	-150.11015496	-154.09544045
38	-150.10955862	-153.18043912
39	-150.10864742	-151.39123641
40	-150.10829185	-157.25932943
41	-150.10829185	-151.27182581
42	-150.10829185	-150.93259517
43	-150.10829185	-150.75709697
44	-150.10829185	-154.57913833
45	-150.10829185	-150.85389330
46	-150.10829185	-151.17879992
47	-150.10829185	-151.66878342
48	-150.10829185	-14859737241114.82617188
49	-150.10829185	-940579767243.66662598
50	-150.10829185	-151.30132086
51	-150.10829185	-150.60235591
52	-150.10829185	-154.64931076
53	-150.10829185	-153.26617205
54	-150.10829185	-161.16106038
55	-150.10829185	-151.74864364
