Generación	Mejor_Fitness	Fitness_Promedio
0	387.87436018	-306817.23706803
1	387.87436018	-8985.82204948
2	402.10524534	254.23664945
3	402.10524534	308.76101239
4	402.10524534	343.73553966
5	402.10524534	360.86121916
6	410.95810895	361.22433044
7	410.95810895	391.96298356
8	410.95810895	399.32566336
9	410.95810895	402.34644862
10	410.95810895	403.13170019
11	410.96627857	403.47696487
12	411.14939060	402.81751865
13	411.15712002	404.49929736
14	411.15712002	405.85313465
15	411.15732927	403.79353443
16	411.15733357	409.63957689
17	411.15733605	411.10434724
18	411.15733893	411.15091204
19	411.15733893	411.15674142
20	411.15733893	411.15725112
