Generación	Mejor_Fitness	Fitness_Promedio
0	387.07901022	-314995.56538205
1	387.07901022	-1320.55107088
2	387.07901022	262.99703794
3	398.98769408	316.81654081
4	401.13513676	345.47993694
5	402.50223221	371.79905059
6	406.95118403	386.83180690
7	410.34997823	395.80081350
8	411.14523749	399.80028836
9	411.14523749	402.26898802
10	411.14523749	404.98170248
11	411.14523749	406.11626496
12	411.14523749	408.07712006
13	411.15732043	409.97420537
14	411.15732043	410.77122457
15	411.15733821	410.70976202
16	411.15733821	410.77329767
17	411.15733821	411.15431634
18	411.15733893	410.78636094
19	411.15733893	411.15728165
20	411.15733893	411.15733215
