Generación	Mejor_Fitness	Fitness_Promedio
0	410.86470054	-417539.72528226
1	410.86470054	-10438.52067788
2	410.86470054	260.41006010
3	410.86470054	305.44221527
4	410.99132969	251.45385215
5	411.03709028	305.46968669
6	411.03709028	368.88141810
7	411.15679073	375.96064145
8	411.15679073	388.96638703
9	411.15724002	395.73377670
10	411.15724002	400.11549137
11	411.15733828	404.43253511
12	411.15733828	410.87048737
13	411.15733847	411.12788399
14	411.15733847	411.15464253
15	411.15733892	411.15708485
16	411.15733893	411.15730794
