Generación	Mejor_Fitness	Fitness_Promedio
0	410.14345488	-291855.47730693
1	410.14345488	-1135.22142290
2	410.14345488	222.94494641
3	411.14788174	233.33288327
4	411.14788174	309.67263738
5	411.14788174	328.58272234
6	411.15703870	336.43745249
7	411.15703870	359.60380018
8	411.15703870	356.58002202
9	411.15703870	359.68060024
10	411.15732192	397.18124748
11	411.15733888	409.72921084
12	411.15733888	410.49192439
13	411.15733889	410.53144999
14	411.15733892	410.78566281
15	411.15733893	411.15712735
16	411.15733893	410.41665218
