Generación	Mejor_Fitness	Fitness_Promedio
0	401.64346913	-311992.30829414
1	401.64346913	-3353.54295924
2	401.64346913	248.30856173
3	401.64346913	302.39303725
4	403.16111973	341.76667212
5	409.50605687	368.64443154
6	411.13064905	389.21765701
7	411.13064905	400.32802718
8	411.13064905	403.68861232
9	411.13064905	405.65498061
10	411.15729768	408.22940316
11	411.15729768	409.76209741
12	411.15733825	411.07657196
13	411.15733825	410.39100578
14	411.15733825	410.77891465
15	411.15733849	410.78548977
16	411.15733892	410.78689582
17	411.15733893	410.78700056
