Generación	Mejor_Fitness	Fitness_Promedio
0	402.16033743	-216559.24029001
1	402.16033743	-809.36723225
2	411.14276701	291.05976662
3	411.14276701	354.48832690
4	411.14276701	389.33599516
5	411.14276701	402.02892833
6	411.14276701	403.68158513
7	411.14676895	405.55339356
8	411.15727505	409.17191773
9	411.15727505	410.88999405
10	411.15727505	410.75616226
11	411.15727505	410.77624801
12	411.15727505	411.15087644
13	411.15731042	411.15525289
14	411.15733852	411.15705273
15	411.15733890	411.15727843
16	411.15733890	411.15728896
17	411.15733890	411.15730641
18	411.15733892	410.78699814
19	411.15733893	410.16795795
