Generación	Mejor_Fitness	Fitness_Promedio
0	364.84084688	-356315.18556713
1	398.46519211	-6247.40450664
2	398.46519211	227.31503359
3	406.27381757	315.75100287
4	406.27381757	343.59298738
5	408.14639950	365.87673249
6	410.26504150	377.74625500
7	410.51278444	368.84481613
8	410.51278444	397.87992550
9	410.51278444	401.35295293
10	411.13210196	402.80303065
11	411.15712741	408.25322416
12	411.15712741	410.44734090
13	411.15733719	410.97697280
14	411.15733888	411.11213515
15	411.15733891	411.15109140
16	411.15733891	411.15665785
17	411.15733893	411.15722993
18	411.15733893	411.15732830
