Generación	Mejor_Fitness	Fitness_Promedio
0	381.71886944	-322527.75016286
1	396.23308481	-3351.86791211
2	405.48567432	209.39732979
3	408.99974238	245.53564154
4	408.99974238	273.37729408
5	410.92906216	302.60701414
6	410.92906216	311.37686015
7	410.92906216	317.78736686
8	410.92906216	302.78287025
9	410.92906216	333.27983948
10	410.93493360	347.30043408
11	411.14637852	320.50572013
12	410.62924236	327.05225966
13	410.97346687	345.95157457
14	410.97346687	357.81549703
15	410.97346687	363.10207629
16	410.97346687	362.45427262
17	410.97346687	379.63672798
18	410.97346687	380.79748843
