Generación	Mejor_Fitness	Fitness_Promedio
0	409.80437951	-374068.15007160
1	409.80437951	105.41986748
2	409.80437951	264.17816363
3	410.94418486	314.43947179
4	410.94418486	357.20044064
5	411.13459266	389.26144561
6	411.14531460	404.24457834
7	411.14531460	407.05909694
8	411.15010522	409.38290943
9	411.15663688	410.94674428
10	411.15732079	410.31882517
11	411.15732221	408.28921683
12	411.15732970	411.14897355
13	411.15733700	410.78450535
14	411.15733700	409.05628622
15	411.15733882	410.78682049
