Generación	Mejor_Fitness	Fitness_Promedio
0	368.09945502	-321515.77127242
1	368.09945502	-12356.19315500
2	383.05448265	255.98990693
3	390.19886739	316.02032287
4	394.60696744	348.56535991
5	401.65660063	369.51857839
6	401.65660063	381.07157984
7	408.54907477	387.77039191
8	410.99960278	392.18253677
9	410.99960278	396.05879497
10	410.99960278	400.54517702
11	411.15475749	405.78322716
12	411.15475749	409.76389621
13	411.15711241	410.91981501
14	411.15711241	411.03876200
15	411.15711241	411.08529124
16	411.15733455	411.13979060
17	411.15733455	411.15517088
18	411.15733587	411.15679686
19	411.15733832	411.15719014
20	411.15733832	411.15728185
21	411.15733892	411.15733022
