Generación	Mejor_Fitness	Fitness_Promedio
0	394.77390075	-418953.13842001
1	394.77390075	-8657.52222055
2	411.15723518	283.12118012
3	411.15723518	342.02559260
4	411.15723518	379.07053152
5	411.15723518	397.52472876
6	411.15723518	406.31803958
7	411.15724562	410.23071703
8	411.15731604	411.10551021
9	411.15732518	411.15691090
10	411.15733842	411.15726178
11	411.15733880	411.15728997
12	411.15733892	411.15731976
13	411.15733893	411.15733305
14	411.15733893	411.15733776
15	411.15733893	411.15733873
