Generación	Mejor_Fitness	Fitness_Promedio
0	380.89370846	-251826.15450869
1	407.01716494	-191.85790437
2	407.01716494	263.51963453
3	407.01716494	319.32684188
4	409.84892255	358.23043545
5	409.84892255	383.62000852
6	409.84892255	391.50504273
7	409.84892255	398.54446479
8	409.84892255	403.26513979
9	411.12577599	407.49442871
10	411.15683004	408.36766266
11	411.15683004	409.35106790
12	411.15683004	410.35991684
13	411.15728088	410.99471811
14	411.15733864	411.14360039
15	411.15733864	411.15586548
16	411.15733864	411.15698077
17	411.15733893	411.15720931
18	411.15733893	411.15731321
19	411.15733893	411.15733673
