Generación	Mejor_Fitness	Fitness_Promedio
0	383.71829973	-347588.14906693
1	400.23582183	-7263.13248585
2	410.74289611	162.03445280
3	410.74289611	273.42634794
4	411.11733761	320.69003737
5	411.11733761	326.17212617
6	411.11733761	347.34526506
7	410.43044630	347.82790447
8	410.95438865	378.32639700
9	411.08473553	392.20539134
10	411.08473553	399.31541997
11	411.11779174	401.75255352
12	411.15692746	402.52808510
13	411.15692746	402.99853649
14	411.15692746	403.23158868
15	411.15692746	403.38310246
16	411.15692746	403.44187472
17	411.15713464	403.48673875
18	411.15713464	402.36602544
19	411.15713464	388.75390945
20	411.15713464	403.71171035
21	411.15713464	403.33534827
22	411.15713464	405.25474812
