Generación	Mejor_Fitness	Fitness_Promedio
0	409.56436892	-306430.79040150
1	409.56436892	-11445.32358073
2	409.56436892	294.22089495
3	411.15546518	365.22932904
4	411.15546518	399.78003024
5	411.15546518	409.36880829
6	411.15677139	410.15105099
7	411.15729392	410.70627535
8	411.15732674	411.08605239
9	411.15732674	411.14922845
10	411.15733818	411.15655382
11	411.15733885	411.15711195
12	411.15733885	411.15728604
13	411.15733892	411.15732828
14	411.15733892	411.15733606
15	411.15733893	411.15733829
