Generación	Mejor_Fitness	Fitness_Promedio
0	401.60762662	-183465.17452735
1	401.60762662	-2774.12436749
2	401.60762662	280.84063904
3	402.62593870	335.87291470
4	402.70861443	358.40247018
5	406.32337038	395.77058582
6	406.32337038	401.50402389
7	410.10494499	402.03025142
8	411.04527497	402.38708092
9	411.04527497	403.55364852
10	411.14958061	404.91091415
11	411.15527512	407.41081071
12	411.15527512	409.82524561
13	411.15698205	410.41336129
14	411.15731540	410.69648612
15	411.15733322	411.14445331
16	411.15733777	411.15445523
17	411.15733777	411.15647212
18	411.15733777	411.15710785
19	411.15733889	411.15729724
20	411.15733893	411.15733042
